"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BirthNoticeLM.destination.id","BirthNoticeLM.destination.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BirthNoticeLM.destination.extension","BirthNoticeLM.destination.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.destination.modifierExtension","BirthNoticeLM.destination.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.destination.headquarters","BirthNoticeLM.destination.headquarters","","","",1,1,"","","","Identifier {[]} {[]}
","Dados da unidade de saúde de inscrição","Dados da unidade de saúde de inscrição","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.headquarters",1,1,"",""
"BirthNoticeLM.destination.ACES","BirthNoticeLM.destination.ACES","","","",0,1,"","","","string {[]} {[]}
","Agrupamento do centro de saúde","Agrupamento do centro de saúde","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.ACES",0,1,"",""
"BirthNoticeLM.destination.healthcardNumber","BirthNoticeLM.destination.healthcardNumber","","","",0,1,"","","","integer {[]} {[]}
","Nº de SNS do recém-nascido","Nº de SNS do recém-nascido","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.healthcardNumber",0,1,"",""
"BirthNoticeLM.destination.healthextension","BirthNoticeLM.destination.healthextension","","","",0,1,"","","","string {[]} {[]}
","Extensão de saúde","Extensão de saúde","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.healthextension",0,1,"",""
"BirthNoticeLM.destination.familyDoctor","BirthNoticeLM.destination.familyDoctor","","","",0,1,"","","","string {[]} {[]}
","Nome clinico do médico de família","Nome clinico do médico de família","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.familyDoctor",0,1,"",""
"BirthNoticeLM.destination.familyNurse","BirthNoticeLM.destination.familyNurse","","","",0,1,"","","","string {[]} {[]}
","Nome clinico do enfermeiro de família","Nome clinico do enfermeiro de família","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.destination.familyNurse",0,1,"",""
"BirthNoticeLM.motherDemographics","BirthNoticeLM.motherDemographics","","","",1,1,"","","","http://example.com/fhir/example/StructureDefinition/MotherDemographicsLM {[]} {[]}
","Dados demográficos da mãe","Dados demográficos da mãe","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.motherDemographics",1,1,"",""
"BirthNoticeLM.pregnancy","BirthNoticeLM.pregnancy","","","",1,1,"","","","http://example.com/fhir/example/StructureDefinition/PregnancyLM {[]} {[]}
","Dados da gravidez e cumprimento do esquema de vigilância pré-natal","Dados da gravidez e cumprimento do esquema de vigilância pré-natal","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.pregnancy",1,1,"",""
"BirthNoticeLM.birth","BirthNoticeLM.birth","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados do parto","Dados do parto","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BirthNoticeLM.birth.id","BirthNoticeLM.birth.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BirthNoticeLM.birth.extension","BirthNoticeLM.birth.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.birth.modifierExtension","BirthNoticeLM.birth.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.birth.date","BirthNoticeLM.birth.date","","","",1,1,"","","","dateTime {[]} {[]}
","Data e hora do nascimento (YYYY-MM-DD HH:MI:SS)","Data e hora do nascimento (YYYY-MM-DD HH:MI:SS)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.date",1,1,"",""
"BirthNoticeLM.birth.type","BirthNoticeLM.birth.type","","","",1,1,"","","","Coding {[]} {[]}
","Tipo de parto (1 - Eutócico Cefálico; 2 - Distócico-Forceps; 3 - Distócico- Ventosa; 4 - Distócico-Cesariana; 5 - Eutócico-Gemelar; 6 – Eutócico-Pélvico; 7 - Distócico Gemelar; 8 – Distócico- Pélvico; 9 - Desconhecido; 10 - Distócico-Espátulas de Thierry)","Tipo de parto (1 - Eutócico Cefálico; 2 - Distócico-Forceps; 3 - Distócico- Ventosa; 4 - Distócico-Cesariana; 5 - Eutócico-Gemelar; 6 – Eutócico-Pélvico; 7 - Distócico Gemelar; 8 – Distócico- Pélvico; 9 - Desconhecido; 10 - Distócico-Espátulas de Thierry)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.type",1,1,"",""
"BirthNoticeLM.birth.participation","BirthNoticeLM.birth.participation","","","",1,1,"","","","Coding {[]} {[]}
","Identifica se é Notícia ou Participação (0 – Notícia de Nascimento; 1 – Participação de Nascimento)","Identifica se é Notícia ou Participação (0 – Notícia de Nascimento; 1 – Participação de Nascimento)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.participation",1,1,"",""
"BirthNoticeLM.birth.reason","BirthNoticeLM.birth.reason","","","",0,1,"","","","string {[]} {[]}
","Motivo em caso de distocia","Motivo em caso de distocia","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.reason",0,1,"",""
"BirthNoticeLM.birth.assist","BirthNoticeLM.birth.assist","","","",0,1,"","","","Coding {[]} {[]}
","Assistido por (0- Médico(a) obstetra; 1- Enfermeiro(a) ESMO; 2 - Outro)","Assistido por (0- Médico(a) obstetra; 1- Enfermeiro(a) ESMO; 2 - Outro)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.assist",0,1,"",""
"BirthNoticeLM.birth.assistDescription","BirthNoticeLM.birth.assistDescription","","","",0,1,"","","","string {[]} {[]}
","Descrever o assistido por.","Descrever o assistido por.","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.birth.assistDescription",0,1,"",""
"BirthNoticeLM.puerperium","BirthNoticeLM.puerperium","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados do puerpério até à alta","Dados do puerpério até à alta","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.puerperium",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BirthNoticeLM.puerperium.id","BirthNoticeLM.puerperium.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BirthNoticeLM.puerperium.extension","BirthNoticeLM.puerperium.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.puerperium.modifierExtension","BirthNoticeLM.puerperium.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.puerperium.type","BirthNoticeLM.puerperium.type","","","",1,1,"","","","string {[]} {[]}
","Tipo de puerpério (0- Normal; 1- Patológico)","Tipo de puerpério (0- Normal; 1- Patológico)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.puerperium.type",1,1,"",""
"BirthNoticeLM.puerperium.observations","BirthNoticeLM.puerperium.observations","","","",0,1,"","","","string {[]} {[]}
","Observações","Observações","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.puerperium.observations",0,1,"",""
"BirthNoticeLM.newborn","BirthNoticeLM.newborn","","","",1,1,"","","","http://example.com/fhir/example/StructureDefinition/NewBornLM {[]} {[]}
","Dados do recém-nascido","Dados do recém-nascido","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.newborn",1,1,"",""
"BirthNoticeLM.puerperiumReview","BirthNoticeLM.puerperiumReview","","","",1,1,"","","","Identifier {[]} {[]}
","Dados da revisão do puerpério","Dados da revisão do puerpério","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.puerperiumReview",1,1,"",""
"BirthNoticeLM.childHealthSurveillance","BirthNoticeLM.childHealthSurveillance","","","",1,1,"","","","Identifier {[]} {[]}
","Dados da vigilância de saúde infantil","Dados da vigilância de saúde infantil","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.childHealthSurveillance",1,1,"",""
"BirthNoticeLM.letterWithClinicalInformation","BirthNoticeLM.letterWithClinicalInformation","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados da informação clinica suplementar","Dados da informação clinica suplementar","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.letterWithClinicalInformation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BirthNoticeLM.letterWithClinicalInformation.id","BirthNoticeLM.letterWithClinicalInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BirthNoticeLM.letterWithClinicalInformation.extension","BirthNoticeLM.letterWithClinicalInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.letterWithClinicalInformation.modifierExtension","BirthNoticeLM.letterWithClinicalInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BirthNoticeLM.letterWithClinicalInformation.hasLetterWithClinicalInformation","BirthNoticeLM.letterWithClinicalInformation.hasLetterWithClinicalInformation","","","",0,1,"","","","boolean {[]} {[]}
","Elaboração de carta com informação clínica suplementar","Elaboração de carta com informação clínica suplementar","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.letterWithClinicalInformation.hasLetterWithClinicalInformation",0,1,"",""
"BirthNoticeLM.letterWithClinicalInformation.date","BirthNoticeLM.letterWithClinicalInformation.date","","","",0,1,"","","","dateTime {[]} {[]}
","Data da elaboração (YYYY-MM-DD)","Data da elaboração (YYYY-MM-DD)","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.letterWithClinicalInformation.date",0,1,"",""
"BirthNoticeLM.professionals","BirthNoticeLM.professionals","","","",0,*,"","","","string {[]} {[]}
","Lista de profissionais envolvidos no registo da NN","Lista de profissionais envolvidos no registo da NN","","","","","","","","","",,,,,"",,,,"BirthNoticeLM.professionals",0,*,"",""
